shellfish|399999|14|age|old
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
John|456|25|Doctor|PolicyB
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
Alice|123|30|Engineer|PolicyA
